No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,ANY,Sphere 3D Corp.,Technology,Software - Application,Canada,67.89M,-,5.51,13.37%,"102,270,052"
2,SQQQ,ProShares UltraPro Short QQQ,Financial,Exchange Traded Fund,USA,-,-,8.06,-0.49%,"59,905,896"
3,BTBT,"Bit Digital, Inc.",Technology,Software - Application,USA,764.48M,22.05,16.41,-6.48%,"58,990,813"
4,ZNGA,Zynga Inc.,Communication Services,Electronic Gaming & Multimedia,USA,10.64B,-,8.10,1.38%,"36,770,581"
5,FCEL,"FuelCell Energy, Inc.",Industrials,Electrical Equipment & Parts,USA,2.00B,-,7.23,14.22%,"36,219,835"
6,GNOG,"Golden Nugget Online Gaming, Inc.",Consumer Cyclical,Gambling,USA,932.77M,11.11,18.59,51.55%,"34,724,206"
7,F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,USA,53.80B,16.31,13.76,-0.29%,"33,840,983"
8,ITUB,Itau Unibanco Holding S.A.,Financial,Banks - Regional,Brazil,53.56B,10.83,5.93,1.46%,"26,572,057"
9,SIRI,Sirius XM Holdings Inc.,Communication Services,Broadcasting,USA,26.37B,112.07,6.26,-3.77%,"26,471,856"
10,WISH,ContextLogic Inc.,Consumer Cyclical,Internet Retail,USA,6.18B,-,10.51,6.92%,"26,053,126"
11,TAL,TAL Education Group,Consumer Defensive,Education & Training Services,China,3.82B,-,6.40,9.52%,"25,417,783"
12,PBR,Petroleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,Brazil,71.76B,6.74,11.05,-1.16%,"23,891,610"
13,CLOV,"Clover Health Investments, Corp.",Healthcare,Healthcare Plans,USA,3.32B,-,8.79,8.95%,"22,899,002"
14,VXRT,"Vaxart, Inc.",Healthcare,Biotechnology,USA,1.06B,-,9.91,13.31%,"20,995,306"
15,CAN,Canaan Inc.,Technology,Computer Hardware,China,1.41B,-,9.90,10.00%,"19,519,139"
16,SRNG,Soaring Eagle Acquisition Corp.,Financial,Shell Companies,USA,1.73B,-,10.00,-0.10%,"19,319,594"
17,BITF,Bitfarms Ltd.,Financial,Capital Markets,Canada,1.04B,-,6.58,10.59%,"19,190,201"
18,PCG,PG&E Corporation,Utilities,Utilities - Regulated Electric,USA,16.46B,22.39,8.60,0.76%,"17,772,893"
19,CS,Credit Suisse Group AG,Financial,Banks - Diversified,Switzerland,27.64B,141.07,10.52,-0.52%,"16,430,531"
20,BTCM,BIT Mining Limited,Financial,Capital Markets,China,306.08M,-,7.65,20.09%,"16,311,185"
21,OCGN,"Ocugen, Inc.",Healthcare,Biotechnology,USA,1.48B,-,8.15,3.69%,"14,691,462"
22,SOFI,"SoFi Technologies, Inc.",Financial,Credit Services,USA,12.77B,-,16.85,0.85%,"14,631,400"
23,NOK,Nokia Corporation,Technology,Communication Equipment,Finland,35.39B,-,6.09,-0.16%,"14,429,062"
24,AHPI,"Allied Healthcare Products, Inc.",Healthcare,Medical Devices,USA,33.12M,-,10.05,21.97%,"13,801,112"
25,NCTY,The9 Limited,Communication Services,Electronic Gaming & Multimedia,China,148.79M,0.84,16.83,19.45%,"13,700,176"
26,DIDI,DiDi Global Inc.,Technology,Software - Application,China,45.00B,-,9.60,3.11%,"13,650,759"
27,SKLZ,Skillz Inc.,Communication Services,Electronic Gaming & Multimedia,USA,4.90B,-,12.51,4.91%,"13,494,871"
28,TLRY,"Tilray, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,Canada,6.50B,-,14.56,0.97%,"13,244,624"
29,VTRS,Viatris Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,USA,16.84B,-,15.06,5.72%,"13,051,479"
30,NKLA,Nikola Corporation,Consumer Cyclical,Auto Manufacturers,USA,4.04B,-,11.00,7.00%,"11,930,826"
31,WKHS,Workhorse Group Inc.,Consumer Cyclical,Auto Manufacturers,USA,1.30B,-,10.22,1.19%,"11,454,107"
32,KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,USA,38.58B,22.83,17.07,-0.29%,"11,255,868"
33,HBAN,Huntington Bancshares Incorporated,Financial,Banks - Regional,USA,21.28B,15.21,14.69,-0.17%,"11,029,996"
34,HUT,Hut 8 Mining Corp.,Financial,Capital Markets,Canada,959.93M,10.31,6.41,8.36%,"10,543,710"
35,ET,Energy Transfer LP,Energy,Oil & Gas Midstream,USA,24.66B,6.83,9.23,-0.49%,"10,370,704"
36,NLY,"Annaly Capital Management, Inc.",Real Estate,REIT - Mortgage,USA,11.75B,3.68,8.44,-0.18%,"10,249,273"
37,PBR-A,Petroleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,Brazil,70.57B,6.16,10.70,-1.06%,"9,950,343"
38,LUMN,"Lumen Technologies, Inc.",Communication Services,Telecom Services,USA,13.02B,-,11.89,1.19%,"9,933,106"
39,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,USA,9.29B,-,11.82,-1.13%,"9,910,928"
40,MVIS,"MicroVision, Inc.",Technology,Scientific & Technical Instruments,USA,2.17B,-,15.90,2.98%,"9,556,225"
41,MVST,"Microvast Holdings, Inc.",Industrials,Electrical Equipment & Parts,USA,3.50B,-,13.49,15.79%,"9,531,359"
42,ATER,"Aterian, Inc.",Technology,Consumer Electronics,USA,293.23M,-,5.49,-33.32%,"9,458,510"
43,KGC,Kinross Gold Corporation,Basic Materials,Gold,Canada,7.98B,6.07,6.03,-2.67%,"9,397,199"
44,RIDE,Lordstown Motors Corp.,Consumer Cyclical,Auto Manufacturers,USA,1.06B,-,5.97,0.69%,"8,660,534"
45,FEYE,"FireEye, Inc.",Technology,Software - Infrastructure,USA,4.79B,-,17.83,6.86%,"8,507,899"
46,M,"Macy's, Inc.",Consumer Cyclical,Department Stores,USA,5.45B,-,18.83,1.48%,"8,265,799"
47,BLUE,"bluebird bio, Inc.",Healthcare,Biotechnology,USA,1.74B,-,18.39,-26.53%,"8,264,922"
48,AUPH,Aurinia Pharmaceuticals Inc.,Healthcare,Biotechnology,Canada,1.50B,-,15.78,9.43%,"8,237,020"
49,GEVO,"Gevo, Inc.",Basic Materials,Specialty Chemicals,USA,1.15B,-,6.01,3.53%,"8,043,001"
50,SRNE,"Sorrento Therapeutics, Inc.",Healthcare,Biotechnology,USA,2.53B,-,8.82,5.11%,"7,829,801"
51,CVE,Cenovus Energy Inc.,Energy,Oil & Gas Integrated,Canada,16.26B,-,7.94,-2.10%,"7,560,220"
52,BNGO,"Bionano Genomics, Inc.",Healthcare,Diagnostics & Research,USA,1.74B,-,6.22,-1.50%,"7,142,666"
53,TME,Tencent Music Entertainment Group,Communication Services,Internet Content & Information,China,17.72B,27.17,10.78,3.11%,"7,011,971"
54,INO,"Inovio Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,1.93B,-,9.76,7.13%,"6,984,798"
55,SID,Companhia Siderurgica Nacional,Basic Materials,Steel,Brazil,11.53B,3.99,8.28,0.06%,"6,892,067"
56,VIPS,Vipshop Holdings Limited,Consumer Cyclical,Internet Retail,China,12.03B,11.50,17.69,2.25%,"6,865,808"
57,JBI,"Janus International Group, Inc.",Industrials,Building Products & Equipment,USA,1.87B,-,13.38,-0.07%,"6,816,988"
58,PAYO,Payoneer Global Inc. Common Stock,Technology,Software - Infrastructure,USA,3.27B,-,9.96,3.53%,"6,802,900"
59,FSR,Fisker Inc.,Consumer Cyclical,Auto Manufacturers,USA,4.59B,-,14.91,3.11%,"6,740,428"
60,BTU,Peabody Energy Corporation,Energy,Thermal Coal,USA,1.15B,-,11.59,-6.19%,"6,724,437"
61,HL,Hecla Mining Company,Basic Materials,Gold,USA,3.40B,100.00,5.92,-4.52%,"6,531,598"
62,HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,USA,17.35B,123.46,19.71,-1.45%,"6,436,055"
63,TIGR,UP Fintech Holding Limited,Financial,Capital Markets,China,2.72B,73.99,18.33,6.32%,"6,357,482"
64,JBLU,JetBlue Airways Corporation,Industrials,Airlines,USA,4.82B,-,15.13,-0.79%,"6,244,367"
65,SIC,"Select Interior Concepts, Inc.",Consumer Cyclical,Residential Construction,USA,273.05M,-,14.28,29.70%,"6,240,827"
66,SPRT,"Support.com, Inc.",Technology,Software - Application,USA,160.92M,-,7.88,10.52%,"6,213,386"
67,EQT,EQT Corporation,Energy,Oil & Gas E&P,USA,6.85B,-,19.06,2.72%,"6,207,407"
68,ASX,"ASE Technology Holding Co., Ltd.",Technology,Semiconductors,Taiwan,20.83B,17.46,9.39,-0.48%,"6,050,461"
69,CX,"CEMEX, S.A.B. de C.V.",Basic Materials,Building Materials,Mexico,12.20B,-,7.91,-0.44%,"5,731,625"
70,CLNE,Clean Energy Fuels Corp.,Energy,Oil & Gas Refining & Marketing,USA,1.41B,-,7.80,4.28%,"5,686,765"
71,BB,BlackBerry Limited,Technology,Software - Infrastructure,Canada,5.91B,-,10.43,1.31%,"5,615,054"
72,LU,Lufax Holding Ltd,Financial,Credit Services,China,17.43B,-,7.49,5.27%,"5,558,040"
73,IQ,"iQIYI, Inc.",Communication Services,Internet Content & Information,China,8.62B,-,10.81,2.17%,"5,418,894"
74,HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,USA,11.14B,-,15.89,-1.58%,"5,414,546"
75,SU,Suncor Energy Inc.,Energy,Oil & Gas Integrated,Canada,29.04B,24.63,19.20,-2.41%,"5,356,129"
76,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,4.16B,-,13.39,-1.73%,"5,340,915"
77,GPRO,"GoPro, Inc.",Technology,Consumer Electronics,USA,1.54B,-,10.86,7.63%,"5,317,851"
78,APA,APA Corporation,Energy,Oil & Gas E&P,USA,6.83B,9.79,17.92,-2.26%,"5,284,119"
79,NYCB,"New York Community Bancorp, Inc.",Financial,Banks - Regional,USA,5.63B,13.95,12.24,0.53%,"5,273,968"
80,PSLV,Sprott Physical Silver Trust,Financial,Exchange Traded Fund,USA,-,-,8.27,-3.33%,"5,161,251"
81,AU,AngloGold Ashanti Limited,Basic Materials,Gold,South Africa,8.16B,6.70,16.01,-1.20%,"5,064,893"
82,GGB,Gerdau S.A.,Basic Materials,Steel,Brazil,9.52B,6.47,5.90,-0.51%,"4,980,610"
83,SOXS,Direxion Daily Semiconductor Bear 3X Shares,Financial,Exchange Traded Fund,USA,-,-,6.51,0.85%,"4,937,922"
84,SDC,"SmileDirectClub, Inc.",Healthcare,Medical Devices,USA,2.69B,-,6.70,-1.98%,"4,818,191"
85,OPEN,Opendoor Technologies Inc.,Real Estate,Real Estate Services,USA,8.70B,-,14.99,3.92%,"4,803,880"
86,BFLY,"Butterfly Network, Inc.",Healthcare,Medical Devices,USA,2.02B,-,11.84,13.43%,"4,700,174"
87,QRTEA,"Qurate Retail, Inc.",Consumer Cyclical,Internet Retail,USA,4.81B,3.33,11.00,-2.57%,"4,659,453"
88,SDS,ProShares UltraShort S&P500,Financial,Exchange Traded Fund,USA,-,-,8.45,0.24%,"4,641,522"
89,NNDM,Nano Dimension Ltd.,Technology,Computer Hardware,Israel,1.56B,-,6.34,1.60%,"4,627,841"
90,CNK,"Cinemark Holdings, Inc.",Communication Services,Entertainment,USA,1.83B,-,15.12,-3.26%,"4,605,847"
91,HIMX,"Himax Technologies, Inc.",Technology,Semiconductors,Taiwan,2.32B,21.92,14.70,5.60%,"4,598,544"
92,GT,The Goodyear Tire & Rubber Company,Consumer Cyclical,Auto Parts,USA,4.26B,-,16.35,0.58%,"4,508,641"
93,EXPR,"Express, Inc.",Consumer Cyclical,Apparel Retail,USA,334.18M,-,5.70,3.73%,"4,412,069"
94,TEVA,Teva Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,Israel,11.35B,-,10.03,0.20%,"4,309,170"
95,MRIN,Marin Software Incorporated,Technology,Software - Application,USA,95.09M,-,6.01,2.39%,"4,223,047"
96,LAC,Lithium Americas Corp.,Basic Materials,Other Industrial Metals & Mining,Canada,2.11B,-,15.49,4.57%,"4,194,413"
97,UMC,United Microelectronics Corporation,Technology,Semiconductors,Taiwan,28.36B,18.10,11.22,-1.02%,"4,137,249"
98,AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA,8.34B,4.61,16.02,0.06%,"4,104,835"
99,COG,Cabot Oil & Gas Corporation,Energy,Oil & Gas E&P,USA,6.41B,23.91,16.05,-1.41%,"4,100,622"
100,ASTR,"Astra Space, Inc.",Industrials,Aerospace & Defense,USA,2.60B,-,11.30,4.92%,"4,094,539"
101,AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada,3.29B,50.11,12.48,-4.61%,"4,088,844"
102,SRTY,ProShares UltraPro Short Russell2000,Financial,Exchange Traded Fund,USA,-,-,9.57,1.43%,"4,046,131"
103,GFI,Gold Fields Limited,Basic Materials,Gold,South Africa,8.72B,10.97,8.60,-2.44%,"3,966,983"
104,DVAX,Dynavax Technologies Corporation,Healthcare,Biotechnology,USA,1.18B,-,11.60,7.99%,"3,964,909"
105,AMX,"America Movil, S.A.B. de C.V.",Communication Services,Telecom Services,Mexico,55.77B,11.01,16.45,-1.88%,"3,922,701"
106,MDIA,MediaCo Holding Inc.,Communication Services,Broadcasting,USA,52.80M,-,7.25,2.84%,"3,909,724"
107,RF,Regions Financial Corporation,Financial,Banks - Regional,USA,18.78B,7.86,19.95,-0.03%,"3,901,406"
108,TBT,ProShares UltraShort 20+ Year Treasury,Financial,Exchange Traded Fund,USA,-,-,17.80,0.51%,"3,899,001"
109,SPXU,ProShares UltraPro Short S&P500,Financial,Exchange Traded Fund,USA,-,-,16.40,0.30%,"3,883,247"
110,DRIP,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares,Financial,Exchange Traded Fund,USA,-,-,9.55,3.24%,"3,859,833"
111,DB,Deutsche Bank Aktiengesellschaft,Financial,Banks - Regional,Germany,26.01B,12.38,12.80,0.79%,"3,837,369"
112,EVGO,EVgo Inc.,Consumer Cyclical,Specialty Retail,USA,688.19M,-,10.73,4.73%,"3,834,131"
113,VLDR,"Velodyne Lidar, Inc.",Technology,Scientific & Technical Instruments,USA,1.51B,-,8.32,11.74%,"3,813,687"
114,EJH,E-Home Household Service Holdings Limited,Industrials,Specialty Business Services,Cayman Islands,199.69M,23.08,5.38,-0.37%,"3,754,172"
115,WEBR,Weber Inc.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,9.47B,0.07,19.50,7.91%,"3,638,623"
116,ING,ING Groep N.V.,Financial,Banks - Diversified,Netherlands,51.59B,15.88,13.56,-0.18%,"3,593,362"
117,DM,"Desktop Metal, Inc.",Technology,Computer Hardware,USA,2.40B,-,9.33,-0.43%,"3,570,078"
118,BCS,Barclays PLC,Financial,Banks - Diversified,United Kingdom,42.40B,7.02,10.37,0.68%,"3,520,138"
119,HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,USA,19.18B,30.22,14.73,-0.91%,"3,508,631"
120,AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,133.79M,-,6.51,11.28%,"3,497,337"
121,HUYA,HUYA Inc.,Communication Services,Entertainment,China,2.72B,18.59,11.37,5.47%,"3,485,387"
122,PSFE,Paysafe Limited,Technology,Information Technology Services,Bermuda,7.45B,-,10.99,1.24%,"3,480,091"
123,AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada,3.87B,108.31,7.50,-2.47%,"3,476,251"
124,EPZM,"Epizyme, Inc.",Healthcare,Biotechnology,USA,671.97M,-,5.84,-9.66%,"3,469,301"
125,ELMS,"Electric Last Mile Solutions, I",Consumer Cyclical,Auto Manufacturers,USA,1.23B,-,8.77,-2.45%,"3,413,679"
126,MOXC,"Moxian, Inc.",Communication Services,Internet Content & Information,Hong Kong,169.04M,-,6.99,-21.02%,"3,338,206"
127,FLEX,Flex Ltd.,Technology,Electronic Components,Singapore,8.57B,11.72,18.08,1.66%,"3,324,017"
128,TWO,Two Harbors Investment Corp.,Real Estate,REIT - Mortgage,USA,1.99B,4.04,6.37,-0.16%,"3,261,623"
129,EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,USA,5.33B,86.25,17.51,1.54%,"3,219,500"
130,AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel,USA,382.84M,-,14.42,-4.82%,"3,202,293"
131,FLGC,Flora Growth Corp.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,481.55M,-,12.25,-2.47%,"3,178,161"
132,CGC,Canopy Growth Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,7.33B,-,19.03,-0.63%,"3,144,990"
133,CDE,"Coeur Mining, Inc.",Basic Materials,Gold,USA,1.81B,23.59,6.68,-4.05%,"3,115,513"
134,RSI,"Rush Street Interactive, Inc.",Consumer Cyclical,Gambling,USA,2.40B,-,12.53,13.09%,"3,068,250"
135,BLDP,Ballard Power Systems Inc.,Industrials,Specialty Industrial Machinery,Canada,4.53B,-,16.47,6.29%,"3,064,288"
136,PAA,"Plains All American Pipeline, L.P.",Energy,Oil & Gas Midstream,USA,6.94B,60.06,9.49,-1.86%,"3,027,719"
137,BCTX,BriaCell Therapeutics Corp.,Healthcare,Biotechnology,Canada,82.98M,-,5.72,-1.30%,"2,920,883"
138,ERIC,Telefonaktiebolaget LM Ericsson (publ),Technology,Communication Equipment,Sweden,38.54B,16.73,11.60,0.56%,"2,896,980"
139,JDST,Direxion Daily Junior Gold Miners Index Bear 2X Shares,Financial,Exchange Traded Fund,USA,-,-,12.48,7.40%,"2,875,622"
140,VOD,Vodafone Group Plc,Communication Services,Telecom Services,United Kingdom,45.28B,372.00,16.83,0.54%,"2,853,543"
141,FHN,First Horizon Corporation,Financial,Banks - Regional,USA,8.64B,6.94,15.89,-0.50%,"2,827,260"
142,UONE,"Urban One, Inc.",Communication Services,Broadcasting,USA,58.53M,21.91,7.73,8.57%,"2,826,112"
143,CLSK,"CleanSpark, Inc.",Technology,Software - Infrastructure,USA,460.33M,-,15.41,12.67%,"2,823,807"
144,NURO,"NeuroMetrix, Inc.",Healthcare,Medical Instruments & Supplies,USA,80.26M,-,15.02,7.98%,"2,791,700"
145,QID,ProShares UltraShort QQQ,Financial,Exchange Traded Fund,USA,-,-,19.00,-0.42%,"2,780,721"
146,FTI,TechnipFMC plc,Energy,Oil & Gas Equipment & Services,United Kingdom,3.10B,14.91,6.88,-1.93%,"2,770,721"
147,SH,ProShares Short S&P500,Financial,Exchange Traded Fund,USA,-,-,14.87,0.06%,"2,752,385"
148,ZY,Zymergen Inc.,Basic Materials,Chemicals,USA,1.24B,-,11.65,-5.52%,"2,747,666"
149,ORGN,"Origin Materials, Inc.",Basic Materials,Chemicals,USA,795.18M,-,6.24,9.75%,"2,745,116"
150,YMM,Full Truck Alliance Co. Ltd.,Technology,Software - Application,China,12.99B,-,13.31,6.91%,"2,744,792"
151,VST,Vistra Corp.,Utilities,Utilities - Independent Power Producers,USA,8.81B,-,18.88,1.72%,"2,720,780"
152,YINN,Direxion Daily FTSE China Bull 3X Shares,Financial,Exchange Traded Fund,USA,-,-,12.50,5.31%,"2,718,300"
153,DBRG,"DigitalBridge Group, Inc.",Real Estate,REIT - Diversified,USA,3.40B,-,6.99,-0.92%,"2,703,093"
154,GPK,Graphic Packaging Holding Company,Consumer Cyclical,Packaging & Containers,USA,5.75B,23.81,19.24,2.26%,"2,701,886"
155,SLVO,Credit Suisse X-Links Silver Shares Covered Call ETN,Financial,Exchange Traded Fund,USA,-,-,5.38,-3.67%,"2,683,148"
156,BGCP,"BGC Partners, Inc.",Financial,Capital Markets,USA,2.17B,27.71,5.78,1.76%,"2,680,621"
157,BARK,The Original BARK Company,Consumer Cyclical,Specialty Retail,USA,1.36B,-,9.14,5.06%,"2,678,558"
158,IBN,ICICI Bank Limited,Financial,Banks - Regional,India,65.67B,24.54,19.17,0.76%,"2,666,079"
159,COMM,"CommScope Holding Company, Inc.",Technology,Communication Equipment,USA,3.35B,-,16.16,-2.33%,"2,648,678"
160,LAZR,"Luminar Technologies, Inc.",Technology,Software - Application,USA,6.23B,-,18.70,3.46%,"2,633,156"
161,BODY,"The Beachbody Company, Inc.",Communication Services,Internet Content & Information,USA,-,-,8.53,-3.72%,"2,627,160"
162,HBI,Hanesbrands Inc.,Consumer Cyclical,Apparel Manufacturing,USA,6.81B,862.61,19.40,-2.22%,"2,579,532"
163,NRZ,New Residential Investment Corp.,Real Estate,REIT - Mortgage,USA,4.54B,7.81,9.70,-0.92%,"2,539,488"
164,GCI,"Gannett Co., Inc.",Communication Services,Publishing,USA,790.92M,-,6.24,-1.66%,"2,500,689"
165,NRXP,"NRx Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,666.53M,-,15.64,13.83%,"2,471,122"
166,SBLK,Star Bulk Carriers Corp.,Industrials,Marine Shipping,Greece,2.00B,45.36,18.23,-5.89%,"2,466,772"
167,RTP,Reinvent Technology Partners,Financial,Shell Companies,USA,891.01M,-,10.46,9.07%,"2,432,966"
168,AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,Switzerland,18.01B,21.29,11.78,0.43%,"2,428,672"
169,EAF,GrafTech International Ltd.,Industrials,Electrical Equipment & Parts,USA,3.05B,7.30,10.73,-4.37%,"2,407,009"
170,RMO,"Romeo Power, Inc.",Consumer Cyclical,Auto Parts,USA,899.99M,12.16,6.87,3.46%,"2,375,744"
171,MUFG,"Mitsubishi UFJ Financial Group, Inc.",Financial,Banks - Diversified,Japan,71.95B,7.83,5.44,0.37%,"2,365,753"
172,CRK,"Comstock Resources, Inc.",Energy,Oil & Gas E&P,USA,1.33B,-,5.90,1.72%,"2,348,870"
173,PTRA,Proterra Inc.,Consumer Cyclical,Auto Manufacturers,USA,2.22B,-,11.77,7.44%,"2,334,583"
174,PSQ,ProShares Short QQQ,Financial,Exchange Traded Fund,USA,-,-,11.89,-0.17%,"2,318,697"
175,XPDI,Power & Digital Infrastructure Acquisition Corp.,Financial,Shell Companies,USA,426.88M,-,10.10,0.75%,"2,302,478"
176,KNDI,"Kandi Technologies Group, Inc.",Consumer Cyclical,Auto Manufacturers,China,367.10M,-,5.38,10.37%,"2,298,382"
177,NOV,NOV Inc.,Energy,Oil & Gas Equipment & Services,USA,5.14B,-,13.18,-2.04%,"2,258,902"
178,DHT,"DHT Holdings, Inc.",Energy,Oil & Gas Midstream,Bermuda,933.02M,4.54,5.30,-3.19%,"2,248,990"
179,SCPL,SciPlay Corporation,Communication Services,Electronic Gaming & Multimedia,USA,2.05B,18.33,17.20,6.17%,"2,243,737"
180,VNET,"21Vianet Group, Inc.",Technology,Information Technology Services,China,2.46B,-,18.60,2.90%,"2,226,874"
181,SM,SM Energy Company,Energy,Oil & Gas E&P,USA,2.20B,-,17.78,-4.77%,"2,220,315"
182,GLDM,SPDR Gold MiniShares,Financial,Exchange Traded Fund,USA,-,-,17.21,-1.73%,"2,219,063"
183,BCRX,"BioCryst Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,3.14B,-,17.76,0.85%,"2,214,303"
184,PK,Park Hotels & Resorts Inc.,Real Estate,REIT - Hotel & Motel,USA,4.41B,-,18.18,-3.14%,"2,206,208"
185,AJAX,Ajax I,Financial,Shell Companies,USA,890.92M,-,9.97,0.10%,"2,190,076"
186,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,1.83B,-,7.38,0.75%,"2,188,950"
187,KPTI,Karyopharm Therapeutics Inc.,Healthcare,Biotechnology,USA,445.30M,-,5.61,1.72%,"2,158,671"
188,APT,"Alpha Pro Tech, Ltd.",Industrials,Building Products & Equipment,Canada,113.61M,5.85,9.16,4.15%,"2,156,490"
189,RKT,"Rocket Companies, Inc.",Financial,Mortgage Finance,USA,34.76B,6.82,17.67,0.83%,"2,142,247"
190,CARV,"Carver Bancorp, Inc.",Financial,Banks - Regional,USA,53.13M,-,17.61,13.72%,"2,115,925"
191,ETRN,Equitrans Midstream Corporation,Energy,Oil & Gas Midstream,USA,3.63M,10.50,8.32,-1.42%,"2,104,954"
192,ROOT,"Root, Inc.",Financial,Insurance - Property & Casualty,USA,1.83B,-,7.53,4.95%,"2,097,033"
193,COMP,"Compass, Inc.",Technology,Software - Application,USA,5.48B,-,15.27,5.34%,"2,096,129"
194,SABR,Sabre Corporation,Technology,Information Technology Services,USA,3.73B,-,11.18,-2.74%,"2,078,743"
195,ISBC,"Investors Bancorp, Inc.",Financial,Banks - Regional,USA,3.47B,11.63,14.17,-1.19%,"2,073,682"
196,IVC,Invacare Corporation,Healthcare,Medical Devices,USA,278.87M,-,8.66,-1.59%,"2,070,503"
197,PBF,PBF Energy Inc.,Energy,Oil & Gas Refining & Marketing,USA,1.11B,-,9.10,-2.41%,"2,062,722"
198,AGEN,Agenus Inc.,Healthcare,Biotechnology,USA,1.26B,-,5.45,-3.29%,"2,056,238"
199,HIMS,"Hims & Hers Health, Inc.",Consumer Defensive,Household & Personal Products,USA,1.49B,-,8.25,1.23%,"2,045,906"
200,SV,Spring Valley Acquisition Corp.,Financial,Shell Companies,USA,289.23M,-,10.06,0.05%,"2,040,413"
201,SHO,"Sunstone Hotel Investors, Inc.",Real Estate,REIT - Hotel & Motel,USA,2.48B,-,11.05,-2.13%,"2,037,078"
202,REAL,"The RealReal, Inc.",Consumer Cyclical,Specialty Retail,USA,1.48B,-,16.46,0.67%,"2,036,337"
203,ETWO,"E2open Parent Holdings, Inc.",Technology,Software - Infrastructure,USA,2.00B,-,10.72,4.23%,"2,031,170"
204,EGO,Eldorado Gold Corporation,Basic Materials,Gold,Canada,1.66B,75.73,8.52,-3.89%,"2,027,745"
205,PHYS,Sprott Physical Gold Trust,Financial,Exchange Traded Fund,USA,-,-,13.75,-1.65%,"2,011,839"
